time,temperature,humidity,windspeed
2020-01-01 11:00:00,0.6,82.0,12.2
2020-01-01 12:00:00,2.4,77.0,11.2
2020-01-01 13:00:00,3.5,73.0,14.8
2020-01-01 14:00:00,3.9,71.0,13.7
2020-01-01 15:00:00,4.3,69.0,14.0
2020-01-01 16:00:00,3.6,74.0,11.2
2020-01-11 13:00:00,6.4,68.0,7.2
2020-01-15 10:00:00,8.3,65.0,6.1
2020-01-15 11:00:00,9.8,61.0,10.4
2020-01-15 12:00:00,10.5,60.0,15.8
2020-01-15 15:00:00,13.2,56.0,15.1
2020-01-16 12:00:00,11.6,66.0,7.2
2020-01-16 13:00:00,12.4,65.0,11.5
2020-01-16 14:00:00,13.3,63.0,11.5
2020-01-16 15:00:00,13.4,61.0,11.2
2020-01-16 16:00:00,13.0,63.0,10.1
2020-01-20 10:00:00,2.4,80.0,3.2
2020-01-20 11:00:00,4.8,73.0,7.6
2020-01-20 12:00:00,6.0,61.0,15.5
2020-01-20 13:00:00,6.5,57.0,15.8
2020-01-21 10:00:00,-0.1,81.0,8.3
2020-01-21 11:00:00,1.0,80.0,11.2
2020-01-21 12:00:00,2.8,71.0,12.6
2020-01-21 13:00:00,4.0,65.0,10.8
2020-01-21 14:00:00,4.5,60.0,8.6
2020-01-21 15:00:00,5.2,58.0,7.9
2020-01-21 16:00:00,5.2,59.0,6.5
2020-01-07 11:00:00,4.6,91.0,11.9
2020-01-07 12:00:00,6.5,83.0,12.2
2020-01-07 13:00:00,7.3,82.0,12.2
2020-01-10 10:00:00,7.8,88.0,14.0
2020-01-10 11:00:00,9.7,82.0,13.0
2020-01-10 12:00:00,10.7,74.0,19.1
2020-01-10 13:00:00,11.4,69.0,28.8
2020-01-11 09:00:00,-0.7,97.0,2.2
2020-01-15 09:00:00,6.6,71.0,10.8
2020-01-15 13:00:00,11.3,59.0,14.4
2020-01-15 14:00:00,12.3,56.0,12.6
2020-01-15 17:00:00,11.7,60.0,13.7
2020-01-16 09:00:00,5.8,94.0,3.6
2020-01-17 11:00:00,5.2,84.0,2.5
2020-01-18 10:00:00,4.1,81.0,14.0
2020-01-18 16:00:00,5.9,75.0,10.8
2020-01-18 17:00:00,5.1,73.0,12.2
2020-01-19 14:00:00,6.2,63.0,11.5
2020-01-19 15:00:00,5.7,71.0,12.2
2020-01-20 15:00:00,6.1,58.0,12.6
2020-01-20 16:00:00,5.8,60.0,17.3
2020-01-01 10:00:00,-0.5,87.0,10.8
2020-01-01 17:00:00,2.2,81.0,8.3
2020-01-07 14:00:00,7.4,82.0,11.5
2020-01-07 15:00:00,7.2,82.0,10.1
2020-01-07 16:00:00,7.0,85.0,7.9
2020-01-07 17:00:00,6.6,85.0,7.9
2020-01-10 14:00:00,10.9,72.0,29.9
2020-01-10 17:00:00,8.0,81.0,15.5
2020-01-11 10:00:00,1.0,90.0,4.0
2020-01-11 11:00:00,1.6,94.0,5.4
2020-01-11 12:00:00,5.0,76.0,4.0
2020-01-11 14:00:00,6.5,70.0,11.5
2020-01-14 10:00:00,6.9,69.0,13.3
2020-01-15 16:00:00,12.7,55.0,17.3
2020-01-16 10:00:00,9.4,79.0,3.2
2020-01-16 11:00:00,10.4,76.0,3.6
2020-01-16 17:00:00,10.6,73.0,7.2
2020-01-17 09:00:00,-0.5,96.0,1.8
2020-01-17 10:00:00,2.2,93.0,2.2
2020-01-17 12:00:00,4.8,87.0,7.2
2020-01-17 13:00:00,6.1,81.0,9.0
2020-01-18 11:00:00,5.4,73.0,11.9
2020-01-18 12:00:00,6.1,71.0,18.7
2020-01-18 15:00:00,5.8,78.0,15.5
2020-01-19 11:00:00,4.5,76.0,7.9
2020-01-19 12:00:00,5.2,71.0,13.7
2020-01-19 13:00:00,6.3,67.0,11.2
2020-01-20 09:00:00,-1.0,94.0,5.0
2020-01-20 14:00:00,6.0,56.0,13.3
2020-01-20 17:00:00,5.3,63.0,16.6
2020-01-21 09:00:00,-1.5,86.0,6.5
2020-01-21 17:00:00,4.6,60.0,6.1
2020-01-23 12:00:00,3.3,74.0,15.8
2020-01-23 15:00:00,3.6,72.0,10.4
2020-01-23 16:00:00,4.1,69.0,10.8
2020-01-23 17:00:00,2.7,76.0,14.0
2020-01-18 13:00:00,5.8,78.0,17.6
2020-01-18 14:00:00,4.6,87.0,18.4
2020-01-03 22:00:00,9.1,89.0,14.8
2020-01-03 23:00:00,8.7,93.0,19.4
2020-01-05 07:00:00,3.9,96.0,7.6
2020-01-05 08:00:00,3.8,97.0,6.5
2020-01-05 09:00:00,3.9,98.0,4.3
2020-01-08 10:00:00,4.2,91.0,13.7
2020-01-08 11:00:00,4.7,92.0,13.3
2020-01-08 14:00:00,5.0,97.0,15.5
2020-01-08 23:00:00,7.0,98.0,8.3
2020-01-09 00:00:00,7.3,99.0,7.6
2020-01-09 01:00:00,7.5,99.0,7.6
2020-01-09 06:00:00,8.2,97.0,13.0
2020-01-09 08:00:00,8.6,97.0,16.2
2020-01-09 09:00:00,8.8,97.0,15.5
2020-01-09 17:00:00,10.6,91.0,15.5
2020-01-09 18:00:00,10.5,94.0,11.5
2020-01-09 19:00:00,10.0,94.0,12.2
2020-01-09 20:00:00,9.7,96.0,9.4
2020-01-09 21:00:00,9.5,96.0,7.2
2020-01-09 23:00:00,8.9,97.0,5.0
2020-01-10 01:00:00,8.8,88.0,7.9
2020-01-10 02:00:00,8.5,92.0,16.9
2020-01-10 03:00:00,8.0,92.0,23.0
2020-01-03 19:00:00,7.8,89.0,20.2
2020-01-05 10:00:00,4.3,98.0,4.3
2020-01-09 04:00:00,7.9,98.0,9.4
2020-01-09 11:00:00,9.5,96.0,14.4
2020-01-09 12:00:00,9.8,96.0,16.2
2020-01-09 13:00:00,10.4,97.0,13.7
2020-01-09 14:00:00,11.0,94.0,14.4
2020-01-09 22:00:00,9.1,97.0,6.1
2020-01-12 19:00:00,4.5,86.0,20.5
2020-01-02 05:00:00,-1.6,100.0,5.4
2020-01-03 21:00:00,8.5,92.0,18.7
2020-01-08 13:00:00,4.8,96.0,16.2
2020-01-09 02:00:00,7.6,99.0,8.6
2020-01-09 03:00:00,7.7,99.0,8.6
2020-01-09 05:00:00,8.1,98.0,11.5
2020-01-09 07:00:00,8.4,97.0,15.1
2020-01-10 00:00:00,8.7,97.0,6.5
2020-01-10 04:00:00,8.0,90.0,21.2
2020-01-10 16:00:00,8.2,94.0,17.3
2020-01-16 04:00:00,7.3,93.0,8.3
2020-01-01 04:00:00,-0.4,93.0,5.8
2020-01-01 05:00:00,0.2,90.0,7.2
2020-01-01 18:00:00,1.4,85.0,5.8
2020-01-01 21:00:00,-1.2,89.0,8.3
2020-01-02 00:00:00,-1.9,94.0,6.5
2020-01-02 23:00:00,0.7,98.0,6.5
2020-01-05 06:00:00,4.0,92.0,4.3
2020-01-06 09:00:00,1.8,100.0,3.2
2020-01-07 08:00:00,2.3,97.0,7.9
2020-01-07 20:00:00,2.7,96.0,7.2
2020-01-11 02:00:00,2.1,95.0,5.0
2020-01-16 05:00:00,7.7,91.0,6.8
2020-01-16 08:00:00,5.9,95.0,5.8
2020-01-16 23:00:00,4.0,97.0,6.1
2020-01-20 07:00:00,0.4,93.0,5.0
2020-01-21 01:00:00,-1.1,88.0,5.8
2020-01-21 05:00:00,-2.3,89.0,8.3
2020-01-21 07:00:00,-2.5,90.0,6.8
2020-01-22 09:00:00,-5.0,91.0,5.4
2020-01-22 13:00:00,-2.5,94.0,7.2
2020-01-22 23:00:00,-0.5,91.0,6.1
2020-01-23 05:00:00,-0.1,93.0,6.1
2020-01-01 00:00:00,0.3,88.0,8.6
2020-01-01 03:00:00,-1.1,92.0,7.9
2020-01-01 06:00:00,-1.5,91.0,8.3
2020-01-01 22:00:00,-1.1,92.0,7.6
2020-01-02 02:00:00,-2.0,100.0,7.2
2020-01-02 13:00:00,-0.2,98.0,8.6
2020-01-02 14:00:00,0.0,98.0,6.1
2020-01-07 19:00:00,4.5,91.0,7.6
2020-01-11 04:00:00,0.6,95.0,5.0
2020-01-11 07:00:00,-1.0,100.0,3.6
2020-01-13 23:00:00,5.4,89.0,6.1
2020-01-17 17:00:00,7.3,80.0,8.6
2020-01-19 00:00:00,2.2,85.0,8.3
2020-01-19 04:00:00,2.2,83.0,9.4
2020-01-21 02:00:00,0.1,83.0,6.5
2020-01-21 03:00:00,-0.9,85.0,9.4
2020-01-21 06:00:00,-2.0,89.0,8.6
2020-01-22 10:00:00,-3.7,96.0,6.1
2020-01-22 14:00:00,-2.6,98.0,4.7
2020-01-22 21:00:00,-0.7,92.0,5.0
2020-01-25 10:00:00,0.2,99.0,5.0
2020-01-25 12:00:00,0.6,97.0,4.3
2020-01-02 03:00:00,-2.0,99.0,5.8
2020-01-02 22:00:00,0.7,97.0,2.9
2020-01-03 00:00:00,1.1,98.0,4.7
2020-01-06 02:00:00,3.4,98.0,5.4
2020-01-11 05:00:00,0.0,98.0,4.3
2020-01-12 03:00:00,-1.9,97.0,3.2
2020-01-16 18:00:00,8.3,82.0,3.6
2020-01-16 19:00:00,6.8,87.0,4.3
2020-01-16 22:00:00,4.7,97.0,4.3
2020-01-17 00:00:00,2.8,98.0,3.6
2020-01-17 01:00:00,2.3,99.0,4.0
2020-01-17 02:00:00,1.5,97.0,2.9
2020-01-17 03:00:00,0.8,95.0,4.0
2020-01-17 06:00:00,-0.3,98.0,2.9
2020-01-17 07:00:00,-0.9,98.0,1.4
2020-01-20 02:00:00,0.8,93.0,3.2
2020-01-20 06:00:00,0.2,96.0,3.6
2020-01-22 03:00:00,-5.3,93.0,4.3
2020-01-22 07:00:00,-4.5,92.0,4.3
2020-01-23 00:00:00,-0.6,93.0,5.0
2020-01-23 01:00:00,-0.5,92.0,4.0
2020-01-02 04:00:00,-1.8,100.0,9.4
2020-01-06 06:00:00,-0.2,100.0,2.5
2020-01-06 07:00:00,0.8,100.0,2.9
2020-01-06 10:00:00,1.9,100.0,5.4
2020-01-06 12:00:00,1.5,100.0,6.5
2020-01-06 21:00:00,-0.5,100.0,11.5
2020-01-06 22:00:00,-0.1,100.0,10.8
2020-01-06 23:00:00,-0.2,100.0,9.7
2020-01-07 00:00:00,-0.1,100.0,11.2
2020-01-07 01:00:00,0.1,100.0,11.2
2020-01-07 02:00:00,0.2,100.0,11.9
2020-01-07 03:00:00,0.0,100.0,10.8
2020-01-07 04:00:00,0.1,100.0,7.6
2020-01-11 08:00:00,-0.7,100.0,3.6
2020-01-01 08:00:00,-1.4,92.0,10.4
2020-01-07 22:00:00,2.3,95.0,10.4
2020-01-07 23:00:00,2.2,96.0,10.4
2020-01-13 19:00:00,5.2,90.0,10.4
2020-01-16 01:00:00,10.0,77.0,10.4
2020-01-21 04:00:00,-2.0,89.0,10.4
2020-01-22 22:00:00,-0.6,91.0,10.4
2020-01-23 14:00:00,3.7,71.0,10.4
2020-01-01 09:00:00,-1.2,91.0,11.2
2020-01-10 20:00:00,7.3,81.0,11.2
2020-01-10 23:00:00,6.4,76.0,11.2
2020-01-15 08:00:00,6.7,72.0,11.2
2020-01-18 01:00:00,5.9,78.0,11.2
2020-01-18 18:00:00,3.7,80.0,11.2
2020-01-18 23:00:00,2.5,85.0,11.2
2020-01-23 19:00:00,1.5,82.0,11.2
2020-01-01 01:00:00,0.0,90.0,9.7
2020-01-01 02:00:00,0.1,90.0,10.1
2020-01-01 07:00:00,-1.2,92.0,9.7
2020-01-01 19:00:00,0.2,87.0,12.6
2020-01-01 20:00:00,-0.6,87.0,14.0
2020-01-01 23:00:00,-1.1,93.0,8.6
2020-01-02 01:00:00,-2.4,98.0,4.7
2020-01-02 06:00:00,-1.4,99.0,5.0
2020-01-02 07:00:00,-1.5,98.0,10.8
2020-01-02 08:00:00,-1.5,98.0,10.8
2020-01-02 09:00:00,-1.2,99.0,7.2
2020-01-02 10:00:00,-1.0,98.0,8.6
2020-01-02 15:00:00,0.2,97.0,5.8
2020-01-03 20:00:00,8.3,88.0,17.6
2020-01-04 01:00:00,6.6,79.0,19.1
2020-01-04 02:00:00,5.2,83.0,4.0
2020-01-04 04:00:00,4.8,83.0,9.4
2020-01-04 16:00:00,6.7,70.0,26.6
2020-01-04 17:00:00,6.6,71.0,19.1
2020-01-04 18:00:00,6.7,72.0,16.2
2020-01-04 19:00:00,6.3,73.0,13.3
2020-01-04 20:00:00,6.1,74.0,13.0
2020-01-04 21:00:00,5.5,77.0,11.5
2020-01-04 22:00:00,5.7,79.0,22.3
2020-01-04 23:00:00,4.6,82.0,14.0
2020-01-05 02:00:00,5.1,83.0,13.0
2020-01-05 03:00:00,3.1,90.0,8.6
2020-01-05 05:00:00,3.9,91.0,5.4
2020-01-05 11:00:00,4.7,97.0,4.7
2020-01-06 03:00:00,2.1,99.0,1.8
2020-01-06 04:00:00,0.8,98.0,1.8
2020-01-06 05:00:00,-0.6,98.0,2.2
2020-01-06 08:00:00,1.6,99.0,1.8
2020-01-06 11:00:00,1.3,99.0,6.5
2020-01-06 20:00:00,-0.7,99.0,12.6
2020-01-07 05:00:00,0.7,98.0,10.8
2020-01-07 06:00:00,1.2,98.0,10.1
2020-01-07 10:00:00,3.2,97.0,10.1
2020-01-07 18:00:00,6.1,83.0,8.3
2020-01-07 21:00:00,1.9,98.0,8.6
2020-01-08 06:00:00,3.5,91.0,14.8
2020-01-08 08:00:00,3.7,90.0,14.4
2020-01-08 09:00:00,3.9,91.0,14.0
2020-01-08 12:00:00,4.9,92.0,15.8
2020-01-08 22:00:00,6.9,96.0,8.6
2020-01-09 10:00:00,9.1,95.0,13.7
2020-01-10 15:00:00,10.6,75.0,23.4
2020-01-10 18:00:00,7.9,80.0,18.7
2020-01-10 21:00:00,6.9,80.0,14.4
2020-01-10 22:00:00,6.8,74.0,12.2
2020-01-11 00:00:00,6.3,76.0,12.2
2020-01-11 01:00:00,4.0,86.0,8.3
2020-01-11 03:00:00,1.7,93.0,5.8
2020-01-11 06:00:00,-0.4,99.0,3.6
2020-01-11 19:00:00,2.3,86.0,6.8
2020-01-11 23:00:00,0.6,90.0,9.4
2020-01-12 00:00:00,-1.2,96.0,5.4
2020-01-12 01:00:00,-1.6,97.0,2.9
2020-01-12 02:00:00,-1.8,99.0,2.2
2020-01-12 04:00:00,-2.5,98.0,4.3
2020-01-12 05:00:00,-2.5,98.0,1.4
2020-01-12 17:00:00,5.2,75.0,20.2
2020-01-12 18:00:00,4.1,87.0,20.5
2020-01-13 12:00:00,5.8,84.0,12.2
2020-01-13 13:00:00,6.5,80.0,12.2
2020-01-13 20:00:00,5.6,90.0,11.9
2020-01-14 07:00:00,6.1,77.0,15.1
2020-01-14 08:00:00,5.9,76.0,15.1
2020-01-14 09:00:00,6.1,73.0,10.8
2020-01-15 06:00:00,8.1,69.0,9.4
2020-01-15 07:00:00,7.5,69.0,13.7
2020-01-15 18:00:00,11.7,60.0,16.6
2020-01-15 19:00:00,11.1,62.0,18.4
2020-01-15 22:00:00,11.6,63.0,14.0
2020-01-16 00:00:00,10.5,72.0,15.1
2020-01-16 02:00:00,8.8,83.0,7.2
2020-01-16 03:00:00,8.2,87.0,2.9
2020-01-16 20:00:00,4.9,93.0,2.9
2020-01-16 21:00:00,4.5,97.0,2.5
2020-01-17 04:00:00,0.2,95.0,4.3
2020-01-17 05:00:00,0.0,99.0,2.5
2020-01-17 08:00:00,-0.8,97.0,1.4
2020-01-17 21:00:00,6.4,93.0,9.0
2020-01-17 23:00:00,6.8,83.0,14.8
2020-01-18 06:00:00,3.6,86.0,14.8
2020-01-18 07:00:00,3.9,81.0,18.4
2020-01-18 08:00:00,2.0,88.0,10.8
2020-01-18 19:00:00,2.7,83.0,7.9
2020-01-18 20:00:00,3.0,83.0,6.8
2020-01-18 21:00:00,2.4,85.0,5.4
2020-01-19 06:00:00,2.3,85.0,8.6
2020-01-19 07:00:00,2.3,82.0,10.8
2020-01-19 09:00:00,2.0,86.0,11.5
2020-01-19 10:00:00,3.1,83.0,10.1
2020-01-19 16:00:00,5.8,71.0,9.0
2020-01-19 17:00:00,5.8,68.0,13.0
2020-01-19 19:00:00,3.5,82.0,9.0
2020-01-19 20:00:00,3.6,82.0,10.1
2020-01-20 04:00:00,-0.8,96.0,4.0
2020-01-20 05:00:00,-1.3,96.0,4.0
2020-01-20 08:00:00,-0.5,87.0,5.0
2020-01-20 18:00:00,4.3,69.0,16.2
2020-01-20 19:00:00,3.2,72.0,16.2
2020-01-20 20:00:00,2.8,73.0,17.6
2020-01-20 21:00:00,2.4,76.0,15.8
2020-01-20 22:00:00,1.3,79.0,12.2
2020-01-20 23:00:00,-1.0,88.0,6.8
2020-01-21 00:00:00,-1.7,88.0,6.1
2020-01-21 08:00:00,-1.9,89.0,7.2
2020-01-21 18:00:00,1.3,75.0,4.0
2020-01-21 19:00:00,-0.2,83.0,2.9
2020-01-21 20:00:00,-1.1,88.0,2.5
2020-01-21 21:00:00,-1.8,90.0,3.2
2020-01-21 22:00:00,-2.3,93.0,2.5
2020-01-21 23:00:00,-3.0,95.0,2.5
2020-01-22 00:00:00,-3.3,94.0,2.5
2020-01-22 01:00:00,-4.1,95.0,2.9
2020-01-22 02:00:00,-4.4,95.0,2.2
2020-01-22 04:00:00,-4.8,94.0,6.1
2020-01-22 05:00:00,-4.6,92.0,5.8
2020-01-22 06:00:00,-4.5,95.0,5.0
2020-01-22 08:00:00,-3.2,93.0,7.2
2020-01-22 11:00:00,-3.1,99.0,6.5
2020-01-22 12:00:00,-2.7,96.0,5.0
2020-01-22 20:00:00,-1.3,93.0,4.7
2020-01-23 03:00:00,-0.4,94.0,2.2
2020-01-23 04:00:00,-0.3,93.0,4.7
2020-01-23 06:00:00,0.4,93.0,8.6
2020-01-23 18:00:00,0.6,83.0,12.6
2020-01-25 11:00:00,0.3,99.0,4.7
2020-01-03 02:00:00,1.6,96.0,7.9
2020-01-03 03:00:00,1.8,96.0,7.2
2020-01-03 04:00:00,2.0,96.0,9.0
2020-01-05 12:00:00,5.2,96.0,5.0
2020-01-06 17:00:00,1.1,96.0,7.6
2020-01-08 19:00:00,6.1,96.0,9.0
2020-01-08 20:00:00,6.6,96.0,8.6
2020-01-14 00:00:00,4.2,96.0,4.0
2020-01-20 03:00:00,-0.1,96.0,3.2
2020-01-25 01:00:00,0.1,96.0,4.7
2020-01-25 03:00:00,0.1,96.0,4.3
2020-01-25 09:00:00,0.0,96.0,5.4
2020-01-02 17:00:00,0.3,97.0,4.0
2020-01-02 21:00:00,0.5,97.0,1.8
2020-01-03 01:00:00,1.3,97.0,4.7
2020-01-03 05:00:00,1.9,97.0,9.0
2020-01-07 07:00:00,1.9,97.0,7.6
2020-01-07 09:00:00,2.7,97.0,4.0
2020-01-12 06:00:00,-0.6,97.0,5.0
2020-01-14 01:00:00,4.3,97.0,4.7
2020-01-22 15:00:00,-2.6,97.0,5.8
2020-01-25 20:00:00,1.2,97.0,3.2
2020-01-25 21:00:00,1.2,97.0,3.2
2020-01-25 22:00:00,1.3,97.0,2.9
2020-01-02 11:00:00,-0.9,98.0,9.7
2020-01-02 12:00:00,-0.5,99.0,9.0
2020-01-03 07:00:00,3.0,94.0,7.2
2020-01-03 09:00:00,4.0,91.0,13.7
2020-01-03 10:00:00,4.7,89.0,13.3
2020-01-03 14:00:00,8.0,80.0,20.5
2020-01-03 15:00:00,8.4,79.0,22.7
2020-01-03 16:00:00,8.3,81.0,23.0
2020-01-03 17:00:00,8.4,82.0,22.3
2020-01-04 00:00:00,8.0,78.0,24.1
2020-01-04 03:00:00,5.9,79.0,9.0
2020-01-04 05:00:00,5.0,81.0,9.0
2020-01-04 06:00:00,3.0,86.0,9.4
2020-01-04 12:00:00,5.5,73.0,23.0
2020-01-04 13:00:00,5.8,74.0,25.2
2020-01-04 14:00:00,6.3,71.0,28.8
2020-01-04 15:00:00,6.6,70.0,30.6
2020-01-05 01:00:00,6.4,79.0,14.0
2020-01-05 04:00:00,4.5,88.0,5.4
2020-01-05 15:00:00,5.7,93.0,4.0
2020-01-05 16:00:00,5.7,94.0,4.7
2020-01-05 21:00:00,5.0,93.0,9.0
2020-01-05 22:00:00,5.0,93.0,10.8
2020-01-06 00:00:00,4.6,94.0,5.4
2020-01-06 13:00:00,1.4,100.0,8.3
2020-01-06 18:00:00,0.8,99.0,8.6
2020-01-06 19:00:00,0.3,99.0,9.7
2020-01-08 00:00:00,3.2,95.0,11.2
2020-01-08 02:00:00,3.1,95.0,10.1
2020-01-08 03:00:00,3.3,94.0,10.4
2020-01-08 04:00:00,3.4,91.0,10.4
2020-01-08 07:00:00,3.5,90.0,12.2
2020-01-09 15:00:00,10.9,91.0,13.0
2020-01-09 16:00:00,10.9,90.0,10.1
2020-01-10 08:00:00,7.4,92.0,8.6
2020-01-10 09:00:00,7.4,91.0,10.8
2020-01-10 19:00:00,7.4,82.0,16.6
2020-01-11 16:00:00,6.0,68.0,9.4
2020-01-11 17:00:00,4.7,74.0,7.9
2020-01-11 20:00:00,1.5,88.0,6.8
2020-01-11 21:00:00,0.8,91.0,4.7
2020-01-11 22:00:00,0.6,91.0,8.6
2020-01-12 07:00:00,0.4,95.0,5.8
2020-01-12 08:00:00,0.9,92.0,13.0
2020-01-12 09:00:00,1.3,91.0,13.0
2020-01-12 10:00:00,2.2,86.0,13.7
2020-01-12 14:00:00,5.4,72.0,21.6
2020-01-13 00:00:00,5.3,86.0,17.3
2020-01-13 04:00:00,4.9,89.0,15.1
2020-01-13 09:00:00,4.2,91.0,7.9
2020-01-13 14:00:00,6.4,83.0,11.9
2020-01-13 15:00:00,6.4,83.0,10.4
2020-01-13 16:00:00,6.6,83.0,11.5
2020-01-13 18:00:00,5.6,90.0,10.1
2020-01-14 02:00:00,5.6,91.0,3.6
2020-01-14 22:00:00,9.1,64.0,15.8
2020-01-14 23:00:00,9.9,61.0,13.3
